Order_ID,City,Restaurant_Name,Food_Category,Order_Date,Delivery_Time_Minutes,Order_Value,Customer_Rating,Payment_Method,Order_Status
86,Mumbai,Tasty Bites,Chinese,2024-03-11,40,642,2.8,Card,Pending
87,Hyderabad,Spicy Hub,South Indian,2024-12-14,29,963,3.3,UPI,Delivered
88,Chennai,Royal Dine,South Indian,2024-01-24,28,221,3.7,Wallet,Cancelled
89,Hyderabad,Spicy Hub,Biryani,2024-12-05,59,503,2.7,Wallet,Delivered
90,Mumbai,Urban Kitchen,North Indian,2024-09-10,29,632,4.6,Wallet,Pending
91,Mumbai,Food Palace,Fast Food,2024-10-23,60,678,3.3,UPI,Delivered
92,Chennai,Spicy Hub,South Indian,2024-02-10,45,804,4.7,Cash,Delivered
93,Bangalore,Street Treat,North Indian,2024-07-23,16,181,3.5,UPI,Pending
94,Hyderabad,Food Palace,South Indian,2024-07-13,44,771,4.8,UPI,Pending
95,Delhi,Food Palace,South Indian,2024-02-01,32,390,3.6,Card,Delivered
96,Bangalore,Street Treat,Chinese,2024-09-12,58,543,4.2,Wallet,Cancelled
97,Hyderabad,Tasty Bites,Desserts,2024-11-19,55,647,3.1,Card,Cancelled
98,Delhi,Street Treat,Biryani,2024-08-07,55,274,4.8,Wallet,Pending
99,Delhi,Urban Kitchen,Desserts,2024-04-12,19,697,4.4,UPI,Cancelled
100,Chennai,Food Palace,South Indian,2024-03-31,28,1026,4.6,UPI,Pending
101,Delhi,Urban Kitchen,Biryani,2024-02-16,38,353,5.0,UPI,Delivered
102,Chennai,Urban Kitchen,Desserts,2024-09-29,23,959,4.4,Wallet,Delivered
103,Hyderabad,Spicy Hub,Chinese,2024-09-25,35,325,3.3,Wallet,Delivered
104,Hyderabad,Street Treat,North Indian,2024-05-13,31,928,4.5,Cash,Delivered
105,Bangalore,Royal Dine,Biryani,2024-08-05,28,826,4.8,Wallet,Pending
106,Chennai,Food Palace,Desserts,2024-09-03,43,211,4.7,Cash,Pending
107,Bangalore,Tasty Bites,Fast Food,2024-03-21,48,814,2.7,Cash,Delivered
108,Chennai,Spicy Hub,Chinese,2024-10-21,56,792,3.5,Cash,Cancelled
109,Hyderabad,Street Treat,Desserts,2024-05-19,48,1176,2.5,UPI,Delivered
110,Hyderabad,Tasty Bites,Biryani,2024-06-11,19,1075,4.9,Wallet,Cancelled
111,Mumbai,Spicy Hub,Biryani,2024-07-05,18,425,2.6,Wallet,Pending
112,Bangalore,Street Treat,Biryani,2024-05-08,36,890,5.0,Cash,Cancelled
113,Mumbai,Royal Dine,Chinese,2024-06-06,49,1189,2.9,Card,Cancelled
114,Bangalore,Royal Dine,North Indian,2024-12-17,22,528,4.4,UPI,Delivered
115,Hyderabad,Street Treat,South Indian,2024-10-06,28,685,2.7,UPI,Delivered
116,Bangalore,Royal Dine,Fast Food,2024-04-21,16,903,4.8,Wallet,Pending
117,Bangalore,Food Palace,Biryani,2024-05-25,46,631,3.6,Cash,Pending
118,Mumbai,Street Treat,South Indian,2024-04-06,31,984,3.0,Wallet,Pending
119,Chennai,Urban Kitchen,Biryani,2024-09-06,47,1021,2.6,Wallet,Delivered
120,Hyderabad,Street Treat,Desserts,2024-04-07,56,161,3.9,Cash,Pending
121,Delhi,Street Treat,Biryani,2024-06-10,50,728,3.8,Wallet,Pending
122,Delhi,Tasty Bites,Fast Food,2024-11-18,34,418,3.8,Card,Pending
123,Hyderabad,Street Treat,South Indian,2024-03-24,42,224,3.4,Wallet,Cancelled
124,Chennai,Spicy Hub,South Indian,2024-12-03,15,935,3.2,Cash,Cancelled
125,Mumbai,Tasty Bites,Fast Food,2024-11-21,44,388,3.7,Card,Cancelled
126,Chennai,Food Palace,Chinese,2024-03-16,38,410,4.0,Cash,Cancelled
127,Delhi,Tasty Bites,Desserts,2024-05-12,41,710,3.6,Wallet,Delivered
128,Mumbai,Street Treat,Fast Food,2024-09-08,20,281,2.8,Card,Delivered
129,Chennai,Tasty Bites,North Indian,2024-01-14,45,352,3.5,Card,Delivered
130,Mumbai,Royal Dine,South Indian,2024-02-15,50,597,3.8,Cash,Delivered
131,Chennai,Street Treat,Biryani,2024-11-29,58,1009,4.6,UPI,Cancelled
132,Hyderabad,Food Palace,Fast Food,2024-12-16,60,247,4.5,UPI,Cancelled
133,Mumbai,Tasty Bites,Desserts,2024-03-04,47,1169,4.8,UPI,Pending
134,Chennai,Food Palace,Fast Food,2024-09-02,54,562,2.9,Cash,Cancelled
135,Hyderabad,Urban Kitchen,Desserts,2024-10-01,49,589,4.5,Cash,Cancelled
136,Chennai,Street Treat,Desserts,2024-02-22,37,697,2.6,Wallet,Cancelled
137,Bangalore,Royal Dine,Chinese,2024-02-21,32,654,3.5,Card,Cancelled
138,Mumbai,Royal Dine,Desserts,2024-04-09,53,269,3.8,Card,Cancelled
139,Hyderabad,Urban Kitchen,Desserts,2024-05-18,34,696,3.7,Wallet,Cancelled
140,Mumbai,Food Palace,Chinese,2024-11-02,26,521,4.3,Wallet,Pending
141,Chennai,Royal Dine,Chinese,2024-03-17,48,426,4.1,Card,Cancelled
142,Mumbai,Urban Kitchen,Chinese,2024-11-14,22,411,4.7,Cash,Delivered
143,Delhi,Street Treat,South Indian,2024-02-15,51,502,4.2,Card,Pending
144,Delhi,Royal Dine,Desserts,2024-04-12,34,1014,3.3,UPI,Cancelled
145,Bangalore,Spicy Hub,Desserts,2024-11-11,29,723,4.2,Cash,Cancelled
146,Delhi,Urban Kitchen,South Indian,2024-11-03,22,825,3.4,UPI,Cancelled
147,Delhi,Spicy Hub,Chinese,2024-03-14,19,338,4.3,UPI,Cancelled
148,Bangalore,Tasty Bites,Biryani,2024-06-11,18,890,2.6,Card,Cancelled
149,Bangalore,Spicy Hub,Desserts,2024-07-09,36,710,2.5,Cash,Delivered
150,Bangalore,Royal Dine,Chinese,2024-06-29,40,336,4.2,Wallet,Pending
